,DYN-HUMAN,DYN-RANDOM,LINRS,NRS,STATIC-HUMAN,STATIC-RANDOM,AC,DYN-HUMAN-P0,DYN-HUMAN-P1,DYN-HUMAN-P2,DYN-HUMAN-P3,DYN-HUMAN-P4,DYN-HUMAN-P5,DYN-HUMAN-P6,DYN-HUMAN-P7,DYN-HUMAN-P8,DYN-HUMAN-P9,STATIC-HUMAN-P0,STATIC-HUMAN-P1,STATIC-HUMAN-P2,STATIC-HUMAN-P3,STATIC-HUMAN-P4,STATIC-HUMAN-P5,STATIC-HUMAN-P6,STATIC-HUMAN-P7,STATIC-HUMAN-P8,STATIC-HUMAN-P9,STATIC-1,STATIC-10,STATIC-100,STATIC-1000,STATIC-10000
22,24,26,23.0,160,45.0,250.0,111.0,19.0,37.0,250.0,101.0,54.0,70.0,40.0,93.0,68.0,57.0,34.0,42.0,47.0,41.0,71.0,250.0,1.0,54.0,102.0,63.0,250.0,250.0,250.0,34.0,32.0
23,40,27,17.0,20,77.0,107.0,154.0,64.0,52.0,116.0,35.0,63.0,63.0,37.0,122.0,44.0,10.0,15.0,58.0,50.0,24.0,30.0,57.0,71.0,106.0,29.0,250.0,39.0,20.0,18.0,15.0,45.0
24,62,97,16.0,46,73.0,41.0,29.0,77.0,20.0,20.0,57.0,45.0,92.0,20.0,23.0,55.0,76.0,57.0,93.0,17.0,94.0,48.0,68.0,28.0,79.0,27.0,44.0,185.0,60.0,105.0,57.0,175.0
25,122,18,149.0,11,89.0,26.0,24.0,61.0,16.0,51.0,192.0,36.0,54.0,14.0,64.0,38.0,23.0,24.0,104.0,39.0,43.0,39.0,86.0,22.0,54.0,30.0,22.0,55.0,63.0,18.0,24.0,74.0
26,59,149,43.0,210,16.0,11.0,20.0,135.0,15.0,12.0,38.0,22.0,117.0,50.0,115.0,110.0,50.0,50.0,34.0,250.0,22.0,51.0,59.0,56.0,52.0,26.0,186.0,18.0,250.0,46.0,50.0,11.0
27,93,114,95.0,49,11.0,49.0,22.0,98.0,27.0,159.0,12.0,90.0,46.0,34.0,250.0,43.0,82.0,61.0,66.0,85.0,67.0,38.0,65.0,35.0,1.0,19.0,47.0,250.0,15.0,21.0,61.0,85.0
28,50,31,171.0,62,43.0,36.0,14.0,29.0,31.0,84.0,21.0,89.0,89.0,250.0,8.0,59.0,109.0,18.0,250.0,1.0,128.0,25.0,16.0,21.0,23.0,55.0,40.0,250.0,211.0,11.0,18.0,19.0
29,53,40,95.0,48,113.0,34.0,20.0,35.0,33.0,32.0,71.0,29.0,19.0,32.0,102.0,37.0,16.0,250.0,42.0,250.0,85.0,81.0,34.0,250.0,177.0,136.0,38.0,60.0,250.0,66.0,250.0,37.0
30,46,28,86.0,182,59.0,19.0,42.0,8.0,17.0,57.0,25.0,114.0,28.0,46.0,21.0,43.0,47.0,13.0,12.0,102.0,10.0,62.0,8.0,55.0,34.0,28.0,24.0,80.0,123.0,14.0,13.0,250.0
31,74,12,37.0,92,80.0,17.0,105.0,57.0,46.0,27.0,42.0,65.0,40.0,136.0,34.0,52.0,55.0,250.0,122.0,20.0,49.0,82.0,49.0,49.0,84.0,21.0,100.0,250.0,250.0,30.0,250.0,16.0
32,28,82,250.0,250,19.0,24.0,67.0,28.0,71.0,61.0,74.0,18.0,20.0,37.0,18.0,40.0,49.0,63.0,51.0,59.0,14.0,106.0,52.0,76.0,10.0,60.0,44.0,161.0,28.0,38.0,63.0,250.0
33,59,44,18.0,21,31.0,71.0,111.0,21.0,60.0,37.0,24.0,42.0,28.0,38.0,59.0,24.0,81.0,48.0,38.0,67.0,33.0,180.0,86.0,33.0,81.0,45.0,39.0,94.0,64.0,250.0,48.0,59.0
34,87,31,44.0,167,39.0,40.0,250.0,46.0,131.0,32.0,16.0,25.0,17.0,52.0,250.0,23.0,41.0,250.0,50.0,73.0,98.0,37.0,76.0,49.0,58.0,67.0,22.0,13.0,250.0,23.0,250.0,58.0
35,76,160,24.0,37,140.0,63.0,86.0,17.0,7.0,37.0,55.0,56.0,37.0,16.0,30.0,28.0,7.0,36.0,250.0,137.0,34.0,59.0,51.0,24.0,23.0,143.0,35.0,102.0,20.0,34.0,36.0,74.0
36,14,12,19.0,250,19.0,21.0,250.0,19.0,19.0,10.0,23.0,55.0,41.0,250.0,67.0,2.0,50.0,69.0,82.0,29.0,26.0,51.0,49.0,56.0,123.0,38.0,48.0,209.0,28.0,22.0,69.0,14.0
37,80,67,42.0,45,31.0,89.0,250.0,48.0,89.0,35.0,108.0,38.0,213.0,79.0,40.0,38.0,8.0,49.0,28.0,56.0,211.0,33.0,37.0,75.0,37.0,49.0,56.0,111.0,250.0,169.0,49.0,44.0
38,57,39,250.0,141,47.0,29.0,10.0,6.0,55.0,46.0,68.0,27.0,21.0,55.0,39.0,29.0,36.0,65.0,106.0,54.0,41.0,26.0,36.0,49.0,19.0,26.0,172.0,46.0,26.0,29.0,65.0,26.0
39,31,30,250.0,78,23.0,89.0,24.0,46.0,62.0,14.0,53.0,48.0,74.0,58.0,36.0,127.0,49.0,27.0,19.0,38.0,159.0,19.0,8.0,66.0,26.0,104.0,180.0,186.0,21.0,36.0,27.0,70.0
40,120,250,42.0,35,18.0,41.0,190.0,10.0,13.0,37.0,30.0,24.0,34.0,21.0,81.0,41.0,74.0,100.0,61.0,30.0,95.0,22.0,67.0,48.0,86.0,49.0,41.0,102.0,188.0,126.0,100.0,95.0
41,52,18,76.0,80,83.0,34.0,20.0,73.0,34.0,51.0,47.0,17.0,78.0,67.0,14.0,17.0,42.0,13.0,123.0,124.0,47.0,141.0,158.0,20.0,38.0,98.0,29.0,250.0,205.0,29.0,13.0,250.0
42,87,13,227.0,175,250.0,237.0,190.0,27.0,29.0,47.0,67.0,80.0,77.0,34.0,161.0,27.0,15.0,22.0,54.0,49.0,141.0,128.0,32.0,49.0,57.0,23.0,137.0,27.0,17.0,175.0,22.0,55.0
43,37,41,141.0,203,99.0,47.0,153.0,53.0,104.0,30.0,36.0,42.0,47.0,55.0,45.0,40.0,85.0,84.0,11.0,27.0,26.0,37.0,71.0,83.0,17.0,25.0,54.0,90.0,195.0,93.0,84.0,11.0
44,50,37,27.0,18,47.0,22.0,52.0,29.0,51.0,75.0,35.0,21.0,29.0,26.0,36.0,17.0,36.0,8.0,24.0,60.0,63.0,17.0,23.0,17.0,22.0,46.0,62.0,250.0,69.0,33.0,8.0,55.0
45,10,62,13.0,205,10.0,28.0,77.0,41.0,22.0,81.0,39.0,9.0,68.0,52.0,250.0,20.0,39.0,250.0,56.0,47.0,39.0,58.0,26.0,75.0,45.0,47.0,15.0,2.0,42.0,22.0,250.0,250.0
46,14,68,194.0,23,39.0,27.0,69.0,55.0,34.0,26.0,37.0,28.0,112.0,18.0,85.0,56.0,94.0,13.0,10.0,33.0,6.0,74.0,51.0,52.0,65.0,250.0,155.0,14.0,7.0,11.0,13.0,10.0
47,20,58,176.0,31,105.0,96.0,250.0,62.0,89.0,13.0,46.0,250.0,80.0,22.0,63.0,164.0,37.0,27.0,25.0,65.0,129.0,43.0,46.0,8.0,61.0,80.0,93.0,123.0,33.0,37.0,27.0,236.0
48,28,32,51.0,238,51.0,65.0,78.0,37.0,15.0,38.0,43.0,34.0,12.0,71.0,89.0,17.0,98.0,30.0,23.0,94.0,60.0,95.0,91.0,45.0,14.0,29.0,27.0,119.0,50.0,126.0,30.0,127.0
49,74,27,18.0,250,55.0,19.0,39.0,40.0,24.0,49.0,95.0,24.0,38.0,53.0,104.0,24.0,186.0,102.0,27.0,250.0,23.0,37.0,113.0,30.0,42.0,82.0,20.0,88.0,23.0,24.0,102.0,13.0
50,19,63,36.0,250,28.0,180.0,99.0,50.0,24.0,27.0,36.0,74.0,66.0,115.0,30.0,35.0,86.0,57.0,51.0,19.0,93.0,8.0,34.0,50.0,31.0,10.0,36.0,250.0,128.0,55.0,57.0,250.0
